acl 2.3.1-2
perl-uri 5.10-1
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
picom-git 1623_Next.61.gee7d961_2021.08.24-1
pinentry 1.2.0-1
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.120-4
poppler 22.02.0-2
poppler-glib 22.02.0-2
popt 1.18-3
portaudio 1:19.7.0-1
postgresql 13.5-1
postgresql-libs 13.5-1
procps-ng 3.3.17-1
protobuf 3.19.4-1
psmisc 23.4-1
pulseaudio 15.0-2
pulseaudio-alsa 1:1.2.6-3
pulseaudio-bluetooth 15.0-2
pulsemixer 1.5.1-3
python 3.10.2-1
python-anyio 3.5.0-1
python-appdirs 1.4.4-6
python-argon2-cffi-bindings 21.2.0-2
python-argon2_cffi 21.3.0-1
python-asttokens 2.0.5-2
python-async_generator 1.10-7
python-attrs 21.4.0-1
python-babel 2.9.1-3
python-backcall 0.2.0-6
python-beautifulsoup4 4.10.0-1
python-black 22.1.0-2
python-bleach 4.1.0-3
python-cachecontrol 1:0.12.6-4
python-cairo 1.20.1-3
python-certifi 2021.10.8-3
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-click 8.0.3-3
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-dateutil 2.8.2-4
python-debugpy 1.5.1-3
python-decorator 5.1.1-1
python-defusedxml 0.7.1-4
python-deprecation 2.1.0-6
python-distlib 0.3.4-1
python-distro 1.6.0-4
python-entrypoints 0.4-1
python-evdev 1.4.0-3
python-executing 0.8.2-2
python-filelock 3.4.1-1
python-flask 2.0.2-3
python-flask-cors 3.0.10-3
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-ipykernel 6.9.1-1
python-ipywidgets 7.6.5-4
python-itsdangerous 2.0.1-3
python-jedi 0.18.1-1
python-jinja 3.0.3-3
python-json5 0.9.6-3
python-jsonschema 3.2.0-6
python-jupyter_client 7.1.2-1
python-jupyter_core 4.9.1-3
python-jupyter_packaging 0.11.1-3
python-jupyterlab_server 2.10.3-1
python-markdown 3.3.6-3
python-markupsafe 2.0.1-3
python-matplotlib-inline 0.1.3-3
python-mistune1 0.8.4-4
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-mypy_extensions 0.4.3-5
python-nest-asyncio 1.5.4-2
python-ordered-set 4.0.2-6
python-orjson 3.6.7-1
python-packaging 20.9-7
python-pandocfilters 1.5.0-1
python-parso 1:0.8.2-3
python-pathspec 0.9.0-3
python-pep517 0.12.0-4
python-pexpect 4.8.0-6
python-pickleshare 0.7.5-8
python-pip 20.3.4-4
python-pipenv 2022.1.8-2
python-platformdirs 2.4.1-1
python-ply 3.11-10
python-progress 1.6-5
python-prometheus_client 0.12.0-1
python-prompt_toolkit 3.0.28-1
python-protobuf 3.19.4-1
python-ptyprocess 0.7.0-4
python-pure-eval 0.2.2-1
python-pyaudio 0.2.11-8
python-pycparser 2.21-3
python-pygments 2.11.2-1
python-pyopenssl 21.0.0-5
python-pyparsing 2.4.7-6
